"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","DrawIOAgent 接口自动化","0","额度发放","2","1","通知数据校验","0"
"0","Group Buy Market 接口自动化","0","拼团成团","1","0","三人成团","0"
"0","DrawIOAgent 接口自动化","0","额度发放","1","0","并发幂等","0"
"0","Group Buy Market 接口自动化","0","拼团交易","1","0","重复结算","0"
"0","DrawIOAgent 接口自动化","0","会话管理","0","2","创建会话异常校验","0"
"0","DrawIOAgent 接口自动化","0","会话管理","1","0","创建会话","0"
"0","DrawIOAgent 接口自动化","0","普通购买额度","3","1","购买参数校验","0"
"0","DrawIOAgent 接口自动化","0","智能体配置","1","0","查询智能体列表","0"
"0","Group Buy Market 接口自动化","0","拼团交易","1","0","订单结算","0"
"0","Group Buy Market 接口自动化","0","拼团交易","1","0","订单状态保护","0"
"0","DrawIOAgent 接口自动化","0","普通购买额度","2","0","购买幂等校验","0"
"0","Group Buy Market 接口自动化","0","拼团活动","1","0","活动配置","0"
"0","Group Buy Market 接口自动化","0","拼团交易","1","0","订单锁定","0"
"0","DrawIOAgent 接口自动化","0","普通购买额度","1","0","购买额度","0"
"0","DrawIOAgent 接口自动化","0","AI 对话","1","0","额度校验","0"
"0","DrawIOAgent 接口自动化","0","额度发放","1","0","通知幂等","0"
"0","Group Buy Market 接口自动化","0","拼团交易","1","0","订单数据隔离","0"
"0","DrawIOAgent 接口自动化","0","额度消费端到端链路","1","0","聊天消费额度","0"
"0","跨系统端到端测试","0","拼团购买额度","1","0","三人拼团到账","0"
