"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","不支持的通知类型应返回非法参数","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","1342","三人拼团成功后 DrawIOAgent 异步发放额度","tests.e2e","2026-08-06","passed","2026-08-06","TestCreditPurchaseFlow","test_credit_purchase_flow","",""
"","158","无额度用户应在解析图片和调用视觉模型前被拒绝","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestAnalyzeDiagramImageApi","test_analyze_diagram_image","",""
"","4","缺少活动查询必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","25","额度数量非法时拒绝购买：0","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","4","缺少活动查询必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","23029","不同用户使用相同 requestId 时应分别扣减各自额度","tests.e2e","2026-08-06","skipped","2026-08-06","TestChatCreditFlow","test_chat_credit_flow","",""
"","54","缺少交易号或通知配置时应返回非法参数","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","23","额度数量非法时拒绝购买：None","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","5","HTTP 通知缺少回调地址时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","45","相同订单号但 userId 不一致时拒绝重复购买","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","17990","不同用户复用相同 requestId 时应分别扣减各自额度","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestAnalyzeDiagramImageApi","test_analyze_diagram_image","",""
"","67","已支付拼团订单不能再取消锁单","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","43","活动与商品不匹配时应拒绝锁单","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","22","非法图片 Data URL 应返回明确的非法参数错误","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestAnalyzeDiagramImageApi","test_analyze_diagram_image","",""
"","146","三名用户支付后拼团状态变为成功","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestGroupSuccessApi","test_group_success","",""
"","7","查询不存在的商品时应返回无拼团营销配置","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","9537","未认证调用方不得冒用其他用户身份发起聊天","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestAuthorizationApi","test_authorization","",""
"","61","普通购买成功且重复请求不重复发放额度","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditPurchaseApi","test_credit_purchase","",""
"","39605","同一会话的第二轮对话应记住第一轮测试代号","tests.drawio_agent","2026-08-06","failed","2026-08-06","TestChatContextApi","test_chat_context","",""
"","198","五个并发成团通知只发放一次额度","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestCreditApi","test_credit","",""
"","48","成团通知 teamId 与订单不一致时拒绝发放","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestCreditApi","test_credit","",""
"","4","缺少锁单必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","6","使用无效智能体 ID 创建会话：not-exist","tests.drawio_agent","2026-08-06","skipped","2026-08-06","","test_session","",""
"","36","成功查询智能体配置列表","tests.drawio_agent","2026-08-06","passed","2026-08-06","","test_agent_config","",""
"","8","来源或渠道没有配置活动时应返回无拼团营销配置","tests.group_buy_market","2026-08-06","skipped","2026-08-06","TestMarketConfigApi","test_market_config","",""
"","53","其他用户不能查询或取消本人拼团订单","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
"","5","缺少聊天必填字段时应在调用模型前返回参数错误","tests.drawio_agent","2026-08-06","skipped","2026-08-06","TestChatApi","test_chat","",""
"","9843","有效流程图解析成功后应扣减并记录额度","tests.drawio_agent","2026-08-06","passed","2026-08-06","TestAnalyzeDiagramImageApi","test_analyze_diagram_image","",""
"","4","缺少锁单必填字段时应返回非法参数","tests.group_buy_market","2026-08-06","passed","2026-08-06","TestMarketOrderApi","test_market_order","",""
